cod_local; endereco_formatado; lat; lng
01137; R. CONS. MOREIRA DE BARROS, 0, Sao Paulo, SP ; -23.4974567; -46.6258295 
01138; R. CONS. MOREIRA DE BARROS, 0, Sao Paulo, SP ; -23.4974567; -46.6258295 
01139; AV. DAS CEREJEIRAS, 790, Sao Paulo, SP ; -23.5086103; -46.5805327 
01140; AV. DAS CEREJEIRAS, 790, Sao Paulo, SP ; -23.5086103; -46.5805327 
01141; AV. CONCEICAO, 0, Sao Paulo, SP ; -23.5018267; -46.6120866 
01142; AV. PERI RONCHETTI, 0, Sao Paulo, SP ; -23.4586554; -46.6483175 
01143; AV. PERI RONCHETTI, 0, Sao Paulo, SP ; -23.4586554; -46.6483175 
01144; R. TITO, 32, Sao Paulo, SP ; -23.5280999; -46.6946881 
01145; AV. JOAQUINA RAMALHO, 0, Sao Paulo, SP ; -23.5163862; -46.6082729 
01146; AV. JOAQUINA RAMALHO, 0, Sao Paulo, SP ; -23.5163862; -46.6082729 
01147; AV. JOAQUINA RAMALHO, 1500, Sao Paulo, SP ; -23.5036784; -46.6033516 
01148; AV. JOAQUINA RAMALHO, 1500, Sao Paulo, SP ; -23.5036784; -46.6033516 
01149; AV. GEN. ATALIBA LEONEL, 0, Sao Paulo, SP ; -23.5082143; -46.6261884 
01150; AV. GEN. ATALIBA LEONEL, 0, Sao Paulo, SP ; -23.5082143; -46.6261884 
01151; R. VOLUNTARIOS DA PATRIA, 4747, Sao Paulo, SP ; -23.4805206; -46.6322767 
01152; R. VOLUNTARIOS DA PATRIA, 4747, Sao Paulo, SP ; -23.4805206; -46.6322767 
01153; R. CEL. JOSE RUFINO FREIRE, 0, Sao Paulo, SP ; -23.4910513; -46.7509994 
01154; R. CEL. JOSE RUFINO FREIRE, 0, Sao Paulo, SP ; -23.4910513; -46.7509994 
01155; AV. CANDIDO PORTINARI, 0, Sao Paulo, SP ; -23.5078616; -46.7476772 
01156; AV. CANDIDO PORTINARI, 0, Sao Paulo, SP ; -23.5078616; -46.7476772 
01157; AV. IMIRIM, 3764, Sao Paulo, SP ; -23.4791444; -46.662178 
01158; AV. IMIRIM, 3764, Sao Paulo, SP ; -23.4791444; -46.662178 
01159; AV. DEP. EMILIO CARLOS, 0, Sao Paulo, SP ; -23.5035762; -46.6722597 
01160; AV. DEP. EMILIO CARLOS, 0, Sao Paulo, SP ; -23.5035762; -46.6722597 
01161; R. DR. ZUQUIM, 0, Sao Paulo, SP ; -23.5055634; -46.6224764 
01162; AV. EDE, 0, Sao Paulo, SP ; -23.4986056; -46.595203 
01163; AV. EDE, 0, Sao Paulo, SP ; -23.4986056; -46.595203 
01164; AV. PARADA PINTO, 0, Sao Paulo, SP ; -23.4741765; -46.6674447 
01165; AV. PARADA PINTO, 0, Sao Paulo, SP ; -23.4741765; -46.6674447 
01166; R. CONS. MOREIRA DE BARROS, 2826, Sao Paulo, SP ; -23.4830104; -46.6459602 
01167; R. CONS. MOREIRA DE BARROS, 2826, Sao Paulo, SP ; -23.4830104; -46.6459602 
01168; R. DR. CESAR, 0, Sao Paulo, SP ; -23.5027936; -46.6263819 
01169; R. PE SABOIA DE MEDEIROS, 0, Sao Paulo, SP ; -23.5003304; -46.5774781 
01170; R. PE SABOIA DE MEDEIROS, 0, Sao Paulo, SP ; -23.5003304; -46.5774781 
01171; R. JOHN HARRISON, 0, Sao Paulo, SP ; -23.5505199; -46.6333094 
01172; AV. DEP. CANTIDIO SAMPAIO, 0, Sao Paulo, SP ; -23.473874; -46.6701754 
01173; R. CERRO CORA, 1264, Sao Paulo, SP ; -23.538047; -46.7085232 
01174; R. CERRO CORA, 1264, Sao Paulo, SP ; -23.538047; -46.7085232 
01175; AV. ELISIO TEIXEIRA LEITE, 0, Sao Paulo, SP ; -23.4926306; -46.6963164 
01176; AV. ELISIO TEIXEIRA LEITE, 0, Sao Paulo, SP ; -23.4926306; -46.6963164 
01177; R. CEL. MARCILIO FRANCO, 305, Sao Paulo, SP ; -23.4992568; -46.6038177 
01178; R. CEL. MARCILIO FRANCO, 305, Sao Paulo, SP ; -23.4992568; -46.6038177 
01179; AV. NOVA CANTAREIRA, 2534, Sao Paulo, SP ; -23.4757584; -46.6120213 
01180; AV. NOVA CANTAREIRA, 2534, Sao Paulo, SP ; -23.4757584; -46.6120213 
01181; AV. NOVA CANTAREIRA, 3541, Sao Paulo, SP ; -23.469927; -46.6171686 
01182; AV. NOVA CANTAREIRA, 3541, Sao Paulo, SP ; -23.469927; -46.6171686 
01183; AV. RAIMUNDO P. MAGALHAES, 0, Sao Paulo, SP ; -23.520372; -46.711487 
01184; AV. RAIMUNDO P. MAGALHAES, 0, Sao Paulo, SP ; -23.520372; -46.711487 
01185; AV. CLAVASIO ALVES DA SILVA, 0, Sao Paulo, SP ; -23.5036423; -46.678456 
01186; AV. CLAVASIO ALVES DA SILVA, 0, Sao Paulo, SP ; -23.5036423; -46.678456 
01187; AV. DEP. CANTIDIO SAMPAIO, 0, Sao Paulo, SP ; -23.473874; -46.6701754 
01188; R. MARIA AMALIA L.DE AZEVEDO, 0, Sao Paulo, SP ; -23.460006; -46.6236561 
01189; R. MARIA AMALIA L.DE AZEVEDO, 0, Sao Paulo, SP ; -23.460006; -46.6236561 
01190; R. CARDOSO DE ALMEIDA, 0, Sao Paulo, SP ; -23.531854; -46.6639005 
01501; R. JOSE PAULINO, 400, Sao Paulo, SP ; -23.530725; -46.639157 
01502; R. RIBEIRO DE LIMA, 486, Sao Paulo, SP ; -23.5311839; -46.6374735 
01503; R. PAULA SOUSA, 193, Sao Paulo, SP ; -23.5381863; -46.6311536 
01504; R. PEDROSO, 258, Sao Paulo, SP ; -23.5623353; -46.6413691 
01505; RUA DA GLORIA, 200, Sao Paulo, SP ; -23.5558342; -46.6340945 
01506; R. TREZE DE MAIO, 1854, Sao Paulo, SP ; -23.569433; -46.6439905 
01507; AL. BARAO DE LIMEIRA, 937, Sao Paulo, SP ; -23.5335099; -46.6484689 
01508; AL. JOAQUIM EUGENIO DE LIMA, 279, Sao Paulo, SP ; -23.5646397; -46.6493519 
01509; R. GALVAO BUENO, 31, Sao Paulo, SP ; -23.455126; -46.7491353 
01510; AV. BRIG. LUIS ANTONIO, 1619, Sao Paulo, SP ; -23.5628188; -46.6453563 
01511; AV DUQUE DE CAXIAS, 212, Sao Paulo, SP ; -23.5370108; -46.6433005 
01512; R CARLOS DE SOUSA NAZARE, 180, Sao Paulo, SP ; -23.5406378; -46.6324591 
01513; R MATIAS AIRES, 414, Sao Paulo, SP ; -23.5536997; -46.6595607 
