Id Placa;AIT;Data_infracao;Hora_infracao;Cod_enq;Descricao_enq;Cod_local;Descricao_local;Cod_equip;Cod_serie_equip
653;UVA19726100;27/10/2013;14:05:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;4205;AV. VINTE E TRES DE MAIO, SOB VIADUTOPEDROSO, SENTIDO CENTRO/BAIRRO;5109;500006
653;UVA20965309;30/11/2013;09:12:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;4205;AV. VINTE E TRES DE MAIO, SOB VIADUTOPEDROSO, SENTIDO CENTRO/BAIRRO;5109;500006
662;LVA28605825;25/11/2013;16:27:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;3215;AV. GIOVANNI GRONCHI, PROXIMO A PRACAVINICIUS DE MORAES (SENT. CENTRO/BAIRRO);8234;183-FX1 
670;RRA31177308;21/11/2013;09:12:00;57462;TRANSITAR EM LOCAL/HORARIO NAO PERMITIDO PELA REGULAMENTACAO - RODIZIO;7527;AV. SALIM F. MALUF, OPOSTO R. FLORINDOBRAS (V.PRUDENTE/MARG.TIETE) FX 4, 5 E 6;6569;9904011-FX6 
689;UVA21350669;13/12/2013;06:44:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;4214;AV NACOES UNIDAS (LOCAL) SOB PONTE CIDADE JARDIM, SENTIDO INTERLAGOS/C. BRANCO;5114;500004
696;LXA13119039;22/11/2013;19:24:00;56900;TRANSITAR NA FAIXA/PISTA DA ESQUERDA REGUL CIRCULACAO EXCLUSIVA DETERM VEICULO;3245;AVENIDA GUARAPIRANGA, ALTURA DO N 1389 (SENTIDO BAIRRO/CENTRO)-FX EXCLUS ONIBUS;8310;675-FX1 
696;UVA20730115;24/11/2013;23:25:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;4208;AV SENADOR TEOTONIO VILELA, PX PASSARELA DO HIPER EXTRA, SENTIDO BAIRRO/CENTRO;5116;500010
698;TRA19793536;18/10/2013;18:38:00;57462;TRANSITAR EM LOCAL/HORARIO NAO PERMITIDO PELA REGULAMENTACAO - RODIZIO;1509;R. GALVAO BUENO, N. 31 -SENTIDO BAIRRO/CENTRO;3019;9903025-FX2 
698;LRA31852376;08/11/2013;09:25:00;57462;TRANSITAR EM LOCAL/HORARIO NAO PERMITIDO PELA REGULAMENTACAO - RODIZIO;3238;AV. VINTE E TRES DE MAIO, APOS VIADUTOTUTOIA (SENT. CENTRO/BAIRRO) -FX 3, 4 E 5;8287;239-FX3 
698;TRA20013913;22/11/2013;17:27:00;57462;TRANSITAR EM LOCAL/HORARIO NAO PERMITIDO PELA REGULAMENTACAO - RODIZIO;1521;R. HADDOCK LOBO, N. 403C -SENTIDO CENTRO/BAIRRO;3054;9903022-FX2 
698;TVA14695984;02/12/2013;11:13:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;1529;AV. PRESTES MAIA, N. 913 A(SENTIDO BAIRRO/CENTRO);3068;9903009-FX2 
